Nr	Frage	Frage beschreibung	SPD	CDU/CSU	GRÜNE	FDP	AfD	LINKE	SSW	FREIE WÄHLER	Tierschutz	DieBasis	PARTEI	Todenhöfer	PIRATEN	Volt	ÖDP	Verjüngung	PdH	Bündnis C	BP	MLPD	MENSCHLICHE WELT	PdF	SGP	BüSo	BÜNDNIS DEUTSCHLAND	BSW	MERA25	WerteUnion
1	Unterstützung der Ukraine	Deutschland soll die Ukraine weiterhin militärisch unterstützen.	j	j	j	j	n	n	j	j	n	n	j	n	j	j	j	m	j	j	n	n	n	j	n	n	j	n	n	n
2	Erneuerbare Energien	Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.	j	j	j	n	n	j	j	j	j	n	j	j	j	j	j	m	j	j	j	j	j	j	j	n	n	j	j	n
3	Streichung des Bürgergelds	Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.	j	j	n	j	j	n	j	j	n	n	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	n	j
4	Tempolimit auf Autobahnen	Auf allen Autobahnen soll ein generelles Tempolimit gelten.	j	n	j	n	n	j	j	n	j	n	j	n	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
5	Abweisung Asylsuchender	Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.	n	j	n	j	j	n	n	j	n	j	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
6	Begrenzung der Mietpreise	Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.	j	n	j	n	j	j	j	j	j	j	j	j	j	j	j	m	j	n	j	j	j	j	j	n	n	j	j	n
7	Automatisierte Gesichtserkennung	An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.	n	j	n	j	j	n	n	j	n	n	n	n	n	n	n	m	n	j	j	n	n	n	n	j	j	m	n	j
8	Energieintensive Unternehmen	Energieintensive Unternehmen sollen vom Staat einen finanziellen Ausgleich für ihre Stromkosten erhalten.	j	j	n	j	n	n	j	j	n	n	n	j	n	n	n	m	n	j	j	n	n	n	n	j	j	j	n	j
9	Rente nach 40 Beitragsjahren	Alle Beschäftigten sollen bereits nach 40 Beitragsjahren ohne Abschläge in Rente gehen können.	n	n	j	n	j	j	j	j	j	j	j	j	j	j	j	m	j	n	j	j	j	j	j	n	n	j	j	n
10	Grundgesetz	Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung "Verantwortung vor Gott" stehen.	j	j	n	j	j	n	n	j	n	n	n	n	n	n	n	m	n	j	j	n	n	n	n	j	j	m	n	j
11	Anwerbung von Fachkräften	Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.	j	j	j	j	n	j	j	j	j	n	j	j	j	j	j	m	j	n	n	j	j	j	j	n	n	n	j	n
