These,CDU/CSU,FDP,SPD,Grüne,BSW,Linke,AfD
Bürgergeld-Sanktionen,ja,neutral,neutral,ja,ja,neutral,nein
Fachkräfte-Einwanderung,ja,nein,ja,ja,neutral,nein,nein
Mindestlohn 12€,ja,nein,ja,ja,neutral,ja,nein
Schutz bei Schwangerschaftsberatung,ja,ja,ja,ja,nein,nein,ja
Bundeswehr-Sondervermögen,ja,ja,ja,ja,neutral,nein,nein
Taurus-Lieferung Ukraine,nein,ja,neutral,neutral,nein,nein,nein
Individuelles Asylrecht,nein,nein,nein,nein,neutral,ja,nein
Verlust Schutzstatus bei Heimatreisen,ja,neutral,ja,ja,neutral,nein,neutral
Deutschlandticket unter 49€,nein,nein,nein,nein,neutral,ja,nein
BAföG-Erhöhung,ja,neutral,ja,ja,neutral,neutral,neutral
Aussetzung Schuldenbremse,nein,nein,ja,ja,neutral,neutral,nein
Sonderabgaben für Vermögende,nein,nein,nein,nein,neutral,ja,nein
Aussetzung Lieferkettengesetz,nein,ja,nein,nein,nein,nein,ja
65% Erneuerbare bei Neuheizungen,nein,nein,ja,ja,neutral,nein,nein
Agrardiesel-Subventionen,ja,neutral,ja,nein,neutral,nein,neutral 
